# HumanityOS Game Items Database
# All items available in the game world with volumetric physics data
#
# Column definitions:
#   id                - Unique item identifier (snake_case, _0 suffix = default style)
#   name              - Display name shown to player
#   category          - clothing, tool, weapon, furniture, food, material, machine, vehicle
#   subcategory       - More specific grouping within category
#   base_material     - Primary material_id this item is made from
#   weight_kg         - Physical mass in kilograms
#   stack_size        - Max stack count (1 = not stackable)
#   durability        - Max durability points (0 = indestructible consumable)
#   description       - Short description of the item
#
# === CLOTHING ===
id,name,category,subcategory,base_material,weight_kg,stack_size,durability,description,content_class
boat_motorboat_0,Motorboat,vehicle,watercraft,fiberglass,400.0,1,400,Engine-driven speedboat,solid
submarine_0,Submarine,vehicle,watercraft,steel,5000.0,1,600,Underwater submersible vessel,solid
helicopter_0,Helicopter,vehicle,aircraft,aluminum,1500.0,1,500,Rotary-wing vertical-flight craft,solid
airplane_small_0,Small Airplane,vehicle,aircraft,aluminum,800.0,1,500,Single-engine fixed-wing plane,solid
rover_0,Rover,vehicle,motorized,aluminum,500.0,1,400,All-terrain exploration vehicle,solid
spacecraft_pod_0,Spacecraft Pod,vehicle,spacecraft,titanium,2000.0,1,600,Single-seat orbital vehicle,solid
hovercraft_0,Hovercraft,vehicle,motorized,fiberglass,600.0,1,400,Air-cushion surface vehicle,solid
sled_0,Sled,vehicle,human_powered,pine,5.0,1,150,Snow-surface sliding vehicle,solid
raft_0,Raft,vehicle,watercraft,bamboo,20.0,1,100,Simple floating platform,solid
canoe_0,Canoe,vehicle,watercraft,cedar,25.0,1,200,Narrow paddle-driven boat,solid
truck_pickup_kit_0,Pickup Truck Kit,vehicle,kit,steel,1400.0,1,500,Flat-packed pickup truck. Deploy it to assemble the real thing on the spot,solid
rover_kit_0,Rover Kit,vehicle,kit,aluminum,350.0,1,400,Flat-packed all-terrain rover. Deploy it to assemble the real thing on the spot,solid
car_nova_1975_0,1975 Chevy Nova,vehicle,motorized,steel,1497.0,1,500,Third-generation Chevrolet Nova coupe. The first real-world vehicle recreated in HumanityOS,solid
car_nova_1975_kit_0,1975 Chevy Nova Kit,vehicle,kit,steel,1100.0,1,500,Flat-packed 1975 Chevy Nova restoration kit. Deploy to assemble,solid
#
# === CONTAINERS / STORAGE ===
chest_wood_0,Wood Chest,furniture,container,oak,10.0,1,200,Lidded wooden storage box,solid
crate_0,Crate,furniture,container,pine,5.0,1,150,Slatted shipping container,solid
barrel_0,Barrel,furniture,container,oak,8.0,1,180,Curved-stave liquid container,solid
locker_0,Locker,furniture,container,steel,15.0,1,250,Vertical locking cabinet,solid
safe_0,Safe,furniture,container,steel,50.0,1,500,Armored valuables vault,solid
toolbox_0,Toolbox,furniture,container,steel,3.0,1,200,Portable compartmented tool case,solid
ammo_crate_0,Ammo Crate,furniture,container,pine,4.0,1,180,Sealed ammunition shipping box,solid
fuel_drum_0,Fuel Drum,furniture,container,steel,10.0,1,200,200L liquid fuel barrel,solid
water_tank_0,Water Tank,furniture,container,hdpe,5.0,1,200,Potable water storage cistern,solid
grain_silo_0,Grain Silo,furniture,container,steel,60.0,1,400,Bulk crop storage cylinder,solid
#
# === ELECTRONICS / GADGETS ===
flashlight_0,Flashlight,tool,lighting,aluminum,0.3,1,100,Handheld LED torch,solid
lantern_0,Lantern,tool,lighting,steel,0.8,1,120,Portable area light,solid
flare_0,Flare,tool,signal,abs_plastic,0.2,10,0,Emergency signal flare stick,solid
compass_0,Compass,tool,navigation,brass,0.1,1,100,Magnetic direction finder,solid
binoculars_0,Binoculars,tool,optics,aluminum,0.6,1,120,Magnifying distance viewer,solid
walkie_talkie_0,Walkie Talkie,tool,communication,abs_plastic,0.3,1,120,Short-range voice radio,solid
gps_device_0,GPS Device,tool,navigation,abs_plastic,0.2,1,100,Satellite positioning unit,solid
camera_0,Camera,tool,recording,aluminum,0.4,1,120,Digital photography device,solid
solar_charger_0,Solar Charger,tool,power,polycarbonate,0.5,1,150,Portable PV charging panel,solid
battery_pack_0,Battery Pack,tool,power,abs_plastic,0.3,5,0,Rechargeable lithium power cell,solid
fire_extinguisher_0,Fire Extinguisher,tool,safety,steel,5.0,1,100,Pressurized fire suppression unit,solid
smoke_detector_0,Smoke Detector,tool,safety,abs_plastic,0.2,1,100,Airborne particle fire alarm,solid
motion_light_0,Motion Light,tool,lighting,abs_plastic,0.4,1,120,PIR-activated area light,solid
water_tester_0,Water Tester,tool,science,abs_plastic,0.1,1,80,Water quality analysis probe,solid
geiger_counter_0,Geiger Counter,tool,science,aluminum,0.5,1,120,Ionizing radiation detector,solid
#
# === SPACECRAFT (expanded) ===
spacecraft_fighter_0,Fighter Ship,vehicle,spacecraft,titanium,5000.0,1,800,Light combat vessel with dual thrusters,solid
spacecraft_freighter_0,Freighter,vehicle,spacecraft,steel,50000.0,1,1000,Large cargo hauler with modular bays,solid
spacecraft_shuttle_0,Shuttle,vehicle,spacecraft,aluminum,8000.0,1,600,Personnel transport between stations,solid
spacecraft_corvette_0,Corvette,vehicle,spacecraft,titanium,15000.0,1,900,Fast multi-role warship,solid
spacecraft_cruiser_0,Cruiser,vehicle,spacecraft,titanium,80000.0,1,1200,Heavy combat vessel with weapons platforms,solid
spacecraft_station_module_0,Station Module,vehicle,spacecraft,steel,20000.0,1,2000,Habitable orbital station segment,solid
spacecraft_mining_vessel_0,Mining Vessel,vehicle,spacecraft,steel,25000.0,1,800,Asteroid ore extraction ship,solid
spacecraft_explorer_0,Explorer,vehicle,spacecraft,titanium,12000.0,1,700,Long-range survey vessel with sensors,solid
#
# === MECHS ===
mech_light_0,Light Mech,vehicle,mech,titanium,3000.0,1,600,Bipedal exosuit for rough terrain,solid
mech_heavy_0,Heavy Mech,vehicle,mech,titanium,8000.0,1,1000,Armored combat walker,solid
mech_construction_0,Construction Mech,vehicle,mech,steel,6000.0,1,800,Industrial lifter with crane arms,solid
mech_mining_0,Mining Mech,vehicle,mech,steel,7000.0,1,900,Drill-equipped tunnel borer,solid
mech_scout_0,Scout Mech,vehicle,mech,aluminum,2000.0,1,500,Fast recon walker with sensors,solid
#
# === ELECTRIC VEHICLES ===
car_electric_0,Electric Car,vehicle,electric,aluminum,1800.0,1,500,Battery-powered sedan,solid
truck_electric_0,Electric Truck,vehicle,electric,steel,3500.0,1,600,Battery-powered cargo hauler,solid
scooter_electric_0,Electric Scooter,vehicle,electric,aluminum,15.0,1,200,Personal mobility scooter,solid
bike_electric_0,Electric Bike,vehicle,electric,aluminum,22.0,1,250,Pedal-assist bicycle,solid
bus_electric_0,Electric Bus,vehicle,electric,steel,9000.0,1,600,Battery transit vehicle,solid
#
# === TRAINS ===
locomotive_0,Locomotive,vehicle,rail,steel,80000.0,1,1000,Rail engine for freight and passenger cars,solid
railcar_passenger_0,Passenger Car,vehicle,rail,steel,30000.0,1,800,Seating car for 60 passengers,solid
railcar_freight_0,Freight Car,vehicle,rail,steel,20000.0,1,800,Open-top cargo rail car,solid
railcar_tanker_0,Tanker Car,vehicle,rail,steel,25000.0,1,900,Liquid transport rail car,solid
rail_segment_0,Rail Segment,vehicle,rail,steel,50.0,10,2000,10m track section,solid
#
# === MEDICAL (expanded) ===
defibrillator_0,Defibrillator,medical,equipment,plastic,3.5,1,200,Cardiac rhythm restoration device,solid
painkillers_0,Painkillers,medical,medicine,plastic,0.02,50,1,Oral pain relief tablets,solid
antibiotics_0,Antibiotics,medical,medicine,plastic,0.02,30,1,Bacterial infection treatment,solid
antivenom_0,Antivenom,medical,medicine,glass,0.05,10,1,Venom neutralization serum,solid
blood_bag_0,Blood Bag,medical,supplies,plastic,0.5,10,1,Stored transfusion blood,solid
stim_pack_0,Stim Pack,medical,combat_med,plastic,0.1,20,1,Fast-acting combat stimulant,solid
#
# === ELECTRONICS ===
circuit_board_0,Circuit Board,electronics,computing,silicon,0.1,20,50,Printed circuit assembly,solid
battery_small_0,Small Battery,electronics,power,lithium,0.3,10,100,Rechargeable power cell,solid
battery_large_0,Large Battery,electronics,power,lithium,5.0,1,200,High-capacity energy storage,solid
solar_cell_0,Solar Cell,electronics,power,silicon,1.0,5,150,Photovoltaic energy converter,solid
antenna_0,Antenna,electronics,communication,aluminum,0.5,5,100,Radio signal transceiver,solid
sensor_module_0,Sensor Module,electronics,detection,silicon,0.2,10,80,Multi-spectrum detector,solid
cpu_0,CPU,electronics,computing,silicon,0.05,20,100,Central processing unit,solid
servo_motor_0,Servo Motor,electronics,actuator,steel,0.8,5,150,Precision rotary actuator,solid
led_panel_0,LED Panel,electronics,display,plastic,0.3,10,200,Programmable light display,solid
#
# === CONTAINERS (expanded) ===
chest_metal_0,Metal Chest,container,storage,steel,15.0,1,400,Reinforced lockable container,solid
backpack_small_0,Small Backpack,container,personal,nylon,0.5,1,80,20-liter carry pack,solid
backpack_large_0,Large Backpack,container,personal,canvas,1.2,1,120,65-liter expedition pack,solid
#
# === DECORATIONS ===
painting_0,Painting,decoration,wall_art,canvas,1.0,1,50,Framed canvas artwork,solid
statue_small_0,Small Statue,decoration,sculpture,stone,10.0,1,500,Carved decorative figure,solid
statue_large_0,Large Statue,decoration,sculpture,marble,200.0,1,1000,Monumental carved figure,solid
flag_0,Flag,decoration,banner,cotton,0.3,5,30,Cloth standard on a pole,solid
fountain_0,Fountain,decoration,water_feature,stone,150.0,1,500,Ornamental water display,solid
planter_0,Planter,decoration,garden,ceramic,5.0,1,100,Ornamental plant container,solid
trophy_0,Trophy,decoration,display,gold,0.5,1,100,Achievement award display,solid
#
# === JEWELRY ===
ring_gold_0,Gold Ring,decoration,jewelry,gold,0.02,5,100,Polished gold finger band,solid
ring_silver_0,Silver Ring,decoration,jewelry,silver,0.02,5,80,Polished silver finger band,solid
necklace_gold_0,Gold Necklace,decoration,jewelry,gold,0.05,3,100,Linked gold neck chain,solid
pendant_gem_0,Gemstone Pendant,decoration,jewelry,silver,0.04,5,90,Set gemstone hanging ornament,solid
bracelet_silver_0,Silver Bracelet,decoration,jewelry,silver,0.03,5,80,Linked silver wrist band,solid
earrings_pearl_0,Pearl Earrings,decoration,jewelry,silver,0.02,5,60,Pair of mounted pearl studs,solid
brooch_0,Brooch,decoration,jewelry,silver,0.04,5,90,Pinned decorative chest ornament,solid
crown_simple_0,Simple Crown,decoration,jewelry,gold,0.6,1,200,Banded ceremonial headpiece,solid
amulet_protective_0,Protective Amulet,decoration,jewelry,silver,0.05,5,100,Engraved warding charm,solid
#
# === BOOKS / SCROLLS ===
book_blank_0,Blank Book,tool,writing,plant_fiber,0.4,5,40,Empty notebook for handwritten records,solid
book_journal_0,Personal Journal,tool,writing,plant_fiber,0.4,5,40,Bound diary with lined pages,solid
book_field_guide_0,Field Guide,tool,reference,plant_fiber,0.5,5,50,Illustrated species and terrain handbook,solid
book_recipes_0,Recipe Book,tool,reference,plant_fiber,0.5,5,50,Cooking and preservation manual,solid
book_medical_0,Medical Manual,tool,reference,plant_fiber,0.6,5,60,First aid and treatment reference,solid
book_engineering_0,Engineering Manual,tool,reference,plant_fiber,0.7,5,60,Mechanical and structural reference,solid
scroll_blank_0,Blank Scroll,tool,writing,plant_fiber,0.1,20,20,Rolled blank parchment sheet,solid
map_paper_0,Paper Map,tool,navigation,plant_fiber,0.1,10,30,Folded geographic chart,solid
pen_quill_0,Quill Pen,tool,writing,plant_fiber,0.02,10,40,Feather and reservoir writing instrument,solid
ink_bottle_0,Ink Bottle,tool,writing,glass,0.2,10,50,Glass-stoppered writing fluid,solid
pencil_0,Pencil,tool,writing,pine,0.01,50,30,Graphite-core wooden writing stick,solid
notebook_0,Notebook,tool,writing,plant_fiber,0.3,5,40,Spiral-bound lined paper book,solid
#
# === MUSICAL INSTRUMENTS ===
guitar_acoustic_0,Acoustic Guitar,decoration,instrument,oak,2.0,1,150,Six-string fretted wooden guitar,solid
guitar_electric_0,Electric Guitar,decoration,instrument,oak,3.5,1,180,Magnetic pickup six-string guitar,solid
violin_0,Violin,decoration,instrument,oak,0.5,1,120,Four-string bowed wooden instrument,solid
flute_wood_0,Wooden Flute,decoration,instrument,oak,0.3,1,100,Hollow keyed wind instrument,solid
drum_hand_0,Hand Drum,decoration,instrument,leather,1.5,1,150,Stretched skin percussion drum,solid
drum_kit_0,Drum Kit,decoration,instrument,oak,40.0,1,200,Multi-piece percussion ensemble,solid
piano_upright_0,Upright Piano,decoration,instrument,oak,180.0,1,400,Vertical-string keyed instrument,solid
keyboard_electronic_0,Electronic Keyboard,decoration,instrument,abs_plastic,8.0,1,150,Powered synthesizer keyboard,solid
harmonica_0,Harmonica,decoration,instrument,brass,0.1,5,80,Free-reed mouth-blown instrument,solid
#
# === ART SUPPLIES ===
paintbrush_set_0,Paintbrush Set,tool,art,plant_fiber,0.3,5,80,Assorted bristle painting brushes,solid
canvas_blank_0,Blank Canvas,tool,art,canvas,0.6,10,50,Stretched primed painting surface,solid
easel_0,Easel,tool,art,pine,5.0,1,150,Tripod canvas-holding stand,solid
palette_painters_0,Painter's Palette,tool,art,oak,0.4,5,80,Thumbhole color-mixing board,solid
charcoal_stick_0,Charcoal Stick,tool,art,charcoal,0.05,30,20,Compressed drawing carbon stick,solid
clay_sculpting_0,Sculpting Clay,tool,art,clay,1.5,5,40,Workable modeling earth block,solid
pottery_wheel_0,Pottery Wheel,machine,crafting,oak,40.0,1,300,Foot-pedal clay-throwing turntable,solid
chisel_set_carving_0,Carving Chisel Set,tool,art,steel,1.2,1,200,Assorted woodcarving blades,solid
sketchbook_0,Sketchbook,tool,art,plant_fiber,0.4,5,40,Bound drawing paper book,solid
#
# === LIGHTING ===
candle_0,Candle,decoration,lighting,wax,0.1,20,30,Wax taper with cotton wick,solid
candle_holder_0,Candle Holder,decoration,lighting,brass,0.5,5,100,Stable taper-supporting base,solid
torch_handheld_0,Handheld Torch,decoration,lighting,oak,0.6,5,40,Pitch-soaked stick light,solid
lantern_oil_0,Oil Lantern,decoration,lighting,brass,1.0,5,150,Wick-fed glass-shielded oil lamp,solid
lantern_battery_0,Battery Lantern,electronics,lighting,abs_plastic,0.8,5,150,Portable LED light box,solid
flashlight_0,Flashlight,electronics,lighting,aluminum,0.3,5,100,Handheld battery torch,solid
headlamp_0,Headlamp,electronics,lighting,abs_plastic,0.2,5,100,Strap-mounted hands-free light,solid
streetlight_0,Streetlight,furniture,lighting,steel,80.0,1,400,Tall pole-mounted public light,solid
#
# === COOKED FOODS ===
soup_vegetable_0,Vegetable Soup,food,cooked,plant_fiber,0.6,10,0,Hot mixed vegetable broth bowl,solid
stew_meat_0,Meat Stew,food,cooked,plant_fiber,0.7,10,0,Slow-simmered meat and vegetable pot,solid
sandwich_0,Sandwich,food,cooked,plant_fiber,0.3,10,0,Filled bread two-slice meal,solid
pasta_cooked_0,Cooked Pasta,food,cooked,plant_fiber,0.4,10,0,Boiled noodles with sauce bowl,solid
pizza_slice_0,Pizza Slice,food,cooked,plant_fiber,0.25,10,0,Baked cheese and topping wedge,solid
roast_chicken_0,Roast Chicken,food,cooked,plant_fiber,1.5,5,0,Whole oven-roasted poultry,solid
fish_grilled_0,Grilled Fish,food,cooked,plant_fiber,0.4,10,0,Open-flame cooked fish fillet,solid
omelette_0,Omelette,food,cooked,plant_fiber,0.3,10,0,Folded egg and filling pan dish,solid
porridge_0,Porridge,food,cooked,plant_fiber,0.4,10,0,Hot oat or grain breakfast bowl,solid
salad_0,Salad,food,cooked,plant_fiber,0.4,10,0,Mixed raw vegetable bowl,solid
cake_0,Cake,food,baked,plant_fiber,1.0,5,0,Sweet layered baked dessert,solid
pie_0,Pie,food,baked,plant_fiber,0.8,5,0,Filled pastry-crust baked dish,solid
cookies_batch_0,Cookies,food,baked,plant_fiber,0.3,10,0,Sweet baked dough discs batch,solid
#
# === FISHING / OUTDOOR ===
fishing_rod_0,Fishing Rod,tool,fishing,bamboo,0.6,1,150,Reel-and-line fish capture pole,solid
fishing_net_0,Fishing Net,tool,fishing,nylon,2.0,1,180,Weighted mesh fish trap,solid
tackle_box_0,Tackle Box,tool,fishing,abs_plastic,1.5,1,150,Compartmented lure storage,solid
tent_2person_0,Two-Person Tent,furniture,shelter,nylon,3.0,1,200,Compact backpack camping shelter,solid
sleeping_bag_0,Sleeping Bag,furniture,sleeping,nylon,2.0,1,150,Insulated portable bedroll,solid
campfire_kit_0,Campfire Kit,tool,outdoor,steel,0.8,1,120,Tinder flint and starter bundle,solid
binoculars_0,Binoculars,tool,observation,abs_plastic,0.7,1,150,Twin-tube long-range optic,solid
compass_0,Compass,tool,navigation,brass,0.1,5,200,Magnetic direction indicator,solid
#
# === PLUMBING / SANITATION ===
pipe_metal_0,Metal Pipe,material,plumbing,steel,3.0,20,0,Threaded steel pipe segment,solid
pipe_pvc_0,PVC Pipe,material,plumbing,pvc,0.8,20,0,Plastic water pipe segment,solid
faucet_0,Faucet,furniture,plumbing,brass,0.6,5,150,Threaded water tap with handles,solid
toilet_0,Toilet,furniture,plumbing,ceramic,40.0,1,400,Porcelain waste fixture with tank,solid
sink_0,Sink,furniture,plumbing,ceramic,18.0,1,300,Wall or counter-mounted basin,solid
shower_head_0,Shower Head,furniture,plumbing,brass,0.4,5,200,Wall-mounted spray nozzle,solid
soap_bar_0,Soap Bar,tool,hygiene,plant_fiber,0.1,20,30,Pressed cleaning lather bar,solid
shampoo_bottle_0,Shampoo,tool,hygiene,hdpe,0.4,10,30,Liquid hair cleaning bottle,liquid
toothbrush_0,Toothbrush,tool,hygiene,abs_plastic,0.02,10,40,Bristled dental cleaning stick,solid
towel_0,Towel,tool,hygiene,cotton,0.4,5,80,Absorbent body-drying cloth,solid
#
# === SPECIALTY MATERIALS ===
beeswax_0,Beeswax,material,raw,plant_fiber,0.3,20,0,Natural hive wax block,solid
animal_fat_0,Animal Fat,material,raw,plant_fiber,0.5,20,0,Rendered tallow chunk,solid
charcoal_lump_0,Charcoal Lump,material,fuel,charcoal,0.6,30,0,Pyrolyzed wood fuel,dry_goods
salt_block_0,Salt Block,material,mineral,salt,2.0,10,0,Compressed mineral salt slab,solid
# Garden plant seeds for the curated towers (v0.398): one seed item per
# distinct tower variety so survival-mode planting has something to consume.
# Plot-agnostic (a seed plants a crop in any plot type, not just aeroponics).
seed_aloe_vera_0,Aloe Vera Seeds,material,seed,plant_fiber,0.05,50,0,Planting aloe vera seeds packet,dry_goods
seed_basil_0,Basil Seeds,material,seed,plant_fiber,0.05,50,0,Planting basil seeds packet,dry_goods
seed_beet_0,Beet Seeds,material,seed,plant_fiber,0.05,50,0,Planting beet seeds packet,dry_goods
seed_broccoli_0,Broccoli Seeds,material,seed,plant_fiber,0.05,50,0,Planting broccoli seeds packet,dry_goods
seed_cabbage_0,Cabbage Seeds,material,seed,plant_fiber,0.05,50,0,Planting cabbage seeds packet,dry_goods
seed_calendula_0,Calendula Seeds,material,seed,plant_fiber,0.05,50,0,Planting calendula seeds packet,dry_goods
seed_cauliflower_0,Cauliflower Seeds,material,seed,plant_fiber,0.05,50,0,Planting cauliflower seeds packet,dry_goods
seed_celery_0,Celery Seeds,material,seed,plant_fiber,0.05,50,0,Planting celery seeds packet,dry_goods
seed_chamomile_0,Chamomile Seeds,material,seed,plant_fiber,0.05,50,0,Planting chamomile seeds packet,dry_goods
seed_chickpea_0,Chickpea Seeds,material,seed,plant_fiber,0.05,50,0,Planting chickpea seeds packet,dry_goods
seed_chive_0,Chive Seeds,material,seed,plant_fiber,0.05,50,0,Planting chive seeds packet,dry_goods
seed_cilantro_0,Cilantro Seeds,material,seed,plant_fiber,0.05,50,0,Planting cilantro seeds packet,dry_goods
seed_comfrey_0,Comfrey Seeds,material,seed,plant_fiber,0.05,50,0,Planting comfrey seeds packet,dry_goods
seed_cucumber_0,Cucumber Seeds,material,seed,plant_fiber,0.05,50,0,Planting cucumber seeds packet,dry_goods
seed_dill_0,Dill Seeds,material,seed,plant_fiber,0.05,50,0,Planting dill seeds packet,dry_goods
seed_echinacea_0,Echinacea Seeds,material,seed,plant_fiber,0.05,50,0,Planting echinacea seeds packet,dry_goods
seed_eggplant_0,Eggplant Seeds,material,seed,plant_fiber,0.05,50,0,Planting eggplant seeds packet,dry_goods
seed_feverfew_0,Feverfew Seeds,material,seed,plant_fiber,0.05,50,0,Planting feverfew seeds packet,dry_goods
seed_garlic_0,Garlic Seeds,material,seed,plant_fiber,0.05,50,0,Planting garlic seeds packet,dry_goods
seed_ginger_0,Ginger Seeds,material,seed,plant_fiber,0.05,50,0,Planting ginger seeds packet,dry_goods
seed_hop_0,Hop Seeds,material,seed,plant_fiber,0.05,50,0,Planting hop seeds packet,dry_goods
seed_kale_0,Kale Seeds,material,seed,plant_fiber,0.05,50,0,Planting kale seeds packet,dry_goods
seed_lavender_0,Lavender Seeds,material,seed,plant_fiber,0.05,50,0,Planting lavender seeds packet,dry_goods
seed_leek_0,Leek Seeds,material,seed,plant_fiber,0.05,50,0,Planting leek seeds packet,dry_goods
seed_lemongrass_0,Lemongrass Seeds,material,seed,plant_fiber,0.05,50,0,Planting lemongrass seeds packet,dry_goods
seed_lentil_0,Lentil Seeds,material,seed,plant_fiber,0.05,50,0,Planting lentil seeds packet,dry_goods
seed_mint_0,Mint Seeds,material,seed,plant_fiber,0.05,50,0,Planting mint seeds packet,dry_goods
seed_okra_0,Okra Seeds,material,seed,plant_fiber,0.05,50,0,Planting okra seeds packet,dry_goods
seed_onion_0,Onion Seeds,material,seed,plant_fiber,0.05,50,0,Planting onion seeds packet,dry_goods
seed_oregano_0,Oregano Seeds,material,seed,plant_fiber,0.05,50,0,Planting oregano seeds packet,dry_goods
seed_parsley_0,Parsley Seeds,material,seed,plant_fiber,0.05,50,0,Planting parsley seeds packet,dry_goods
seed_parsnip_0,Parsnip Seeds,material,seed,plant_fiber,0.05,50,0,Planting parsnip seeds packet,dry_goods
seed_pea_0,Pea Seeds,material,seed,plant_fiber,0.05,50,0,Planting pea seeds packet,dry_goods
seed_pepper_0,Bell Pepper Seeds,material,seed,plant_fiber,0.05,50,0,Planting bell pepper seeds packet,dry_goods
seed_radish_0,Radish Seeds,material,seed,plant_fiber,0.05,50,0,Planting radish seeds packet,dry_goods
seed_rosemary_0,Rosemary Seeds,material,seed,plant_fiber,0.05,50,0,Planting rosemary seeds packet,dry_goods
seed_saffron_0,Saffron Seeds,material,seed,plant_fiber,0.05,50,0,Planting saffron seeds packet,dry_goods
seed_sage_0,Sage Seeds,material,seed,plant_fiber,0.05,50,0,Planting sage seeds packet,dry_goods
seed_soybean_0,Soybean Seeds,material,seed,plant_fiber,0.05,50,0,Planting soybean seeds packet,dry_goods
seed_spinach_0,Spinach Seeds,material,seed,plant_fiber,0.05,50,0,Planting spinach seeds packet,dry_goods
seed_st_johns_wort_0,St. Johns Wort Seeds,material,seed,plant_fiber,0.05,50,0,Planting st. johns wort seeds packet,dry_goods
seed_strawberry_0,Strawberry Seeds,material,seed,plant_fiber,0.05,50,0,Planting strawberry seeds packet,dry_goods
seed_thyme_0,Thyme Seeds,material,seed,plant_fiber,0.05,50,0,Planting thyme seeds packet,dry_goods
seed_turmeric_0,Turmeric Seeds,material,seed,plant_fiber,0.05,50,0,Planting turmeric seeds packet,dry_goods
seed_turnip_0,Turnip Seeds,material,seed,plant_fiber,0.05,50,0,Planting turnip seeds packet,dry_goods
seed_valerian_0,Valerian Seeds,material,seed,plant_fiber,0.05,50,0,Planting valerian seeds packet,dry_goods
seed_zucchini_0,Zucchini Seeds,material,seed,plant_fiber,0.05,50,0,Planting zucchini seeds packet,dry_goods
