# HumanityOS Crafting Recipes
# Defines all craftable items, their ingredients, requirements, and outputs
#
# Column definitions:
#   id                  - Unique recipe identifier
#   name                - Display name
#   category            - Recipe category: smelting, refining, crafting, cooking, construction, electronics, assembly, textile, chemistry
#   inputs              - Required inputs (item_id:quantity pairs, pipe-separated)
#   outputs             - Outputs (item_id:quantity pairs, pipe-separated)
#   craft_time_sec      - Time in seconds to complete crafting
#   station_required    - Required crafting station (empty = hand-craftable)
#   skill_required      - Required skill name (empty = no skill needed)
#   skill_level         - Minimum skill level required (0 = none)
#   description         - Short description of what this recipe produces
#
# === SMELTING (ores to ingots) ===
id,name,category,inputs,outputs,craft_time_sec,station_required,skill_required,skill_level,description
build_generator,Build Portable Generator,assembly,steel_ingot_0:5|copper_ingot_0:3|wire_0:4|rubber_sheet_0:1,generator_portable_0:1,60,workbench_0,engineering,4,Assemble a 2kW gasoline generator
build_solar_panel,Build Solar Panel,assembly,glass_pane_0:4|wire_0:3|aluminum_ingot_0:2,solar_panel_0:1,40,electronics_bench_0,engineering,3,Assemble a photovoltaic panel
build_wind_turbine,Build Wind Turbine,assembly,aluminum_ingot_0:4|wire_0:4|steel_ingot_0:3|fiberglass:2,wind_turbine_small_0:1,60,workbench_0,engineering,4,Construct a rooftop wind generator
build_water_pump,Build Water Pump,assembly,steel_ingot_0:3|rubber_sheet_0:1|wire_0:2|copper_ingot_0:1,water_pump_0:1,30,workbench_0,engineering,2,Assemble an electric water pump
build_water_purifier,Build Water Purifier,assembly,steel_ingot_0:2|carbon_fiber_sheet_0:1|plastic_sheet_0:2,water_purifier_0:1,25,workbench_0,engineering,2,Construct a filtration treatment unit
build_heater,Build Heater,assembly,steel_ingot_0:2|wire_0:3|copper_ingot_0:1,heater_0:1,20,workbench_0,engineering,2,Assemble an electric space heater
build_cooler,Build Cooler,assembly,aluminum_ingot_0:2|wire_0:2|copper_ingot_0:1,cooler_0:1,20,workbench_0,engineering,2,Assemble an evaporative cooler
build_washing_machine,Build Washing Machine,assembly,steel_ingot_0:4|wire_0:3|rubber_sheet_0:2,washing_machine_0:1,50,workbench_0,engineering,3,Assemble an automatic laundry washer
build_sawmill,Build Sawmill,assembly,steel_ingot_0:5|wood_plank_0:6|bolt_box_0:3|wire_0:2,sawmill_0:1,60,workbench_0,engineering,3,Construct a powered lumber cutting station
build_grain_mill,Build Grain Mill,assembly,stone_raw_0:4|wood_plank_0:4|bolt_box_0:2,grain_mill_0:1,40,workbench_0,construction,2,Construct a seed-to-flour grinding mill
build_fuel_refinery,Build Fuel Refinery,assembly,steel_ingot_0:10|copper_ingot_0:3|wire_0:5|rubber_sheet_0:2,fuel_refinery_0:1,90,workbench_0,engineering,5,Construct a crude oil distillation unit
build_battery_bank,Build Battery Bank,assembly,steel_ingot_0:4|wire_0:6|copper_ingot_0:3|battery_pack_0:5,battery_bank_0:1,60,electronics_bench_0,engineering,4,Wire a large-scale energy storage array
build_3d_printer,Build 3D Printer,assembly,steel_ingot_0:3|wire_0:4|plastic_sheet_0:3|aluminum_ingot_0:1,printer_3d_0:1,50,electronics_bench_0,engineering,4,Assemble an additive manufacturing device
build_microscope,Build Microscope,assembly,glass_pane_0:2|steel_ingot_0:1|aluminum_ingot_0:1,microscope_0:1,25,electronics_bench_0,engineering,3,Assemble an optical magnification instrument
build_telescope,Build Telescope,assembly,glass_pane_0:3|aluminum_ingot_0:2|steel_ingot_0:1,telescope_0:1,30,workbench_0,engineering,3,Assemble a celestial observation instrument
build_chemistry_set,Build Chemistry Set,assembly,glass_pane_0:4|rubber_sheet_0:1|steel_ingot_0:1,chemistry_set_0:1,20,workbench_0,engineering,2,Assemble laboratory reaction apparatus
build_composter,Build Composter,assembly,wood_plank_0:6|nail_box_0:2,composter_0:1,15,workbench_0,construction,1,Construct an organic waste bin
build_greenhouse,Build Greenhouse,assembly,glass_pane_0:8|wood_plank_0:8|nail_box_0:3,greenhouse_0:1,60,workbench_0,construction,3,Construct a climate-controlled enclosure
build_irrigation,Build Irrigation System,assembly,plastic_sheet_0:5|rubber_sheet_0:2|wire_0:2,irrigation_system_0:1,30,workbench_0,engineering,2,Assemble an automated watering network
build_air_filter,Build Air Filter Unit,assembly,steel_ingot_0:2|cloth_bolt_0:2|wire_0:2,air_filter_unit_0:1,20,workbench_0,engineering,2,Construct a powered air purifier
#
# === CONTAINER CRAFTING ===
craft_toolbox,Build Toolbox,crafting,steel_ingot_0:2,toolbox_0:1,10,workbench_0,smithing,1,Weld a portable compartmented case
craft_locker,Build Locker,crafting,steel_ingot_0:3|bolt_box_0:1,locker_0:1,20,workbench_0,construction,2,Assemble a vertical locking cabinet
craft_safe,Build Safe,crafting,steel_ingot_0:6|bolt_box_0:2,safe_0:1,40,forge_0,smithing,4,Forge an armored valuables vault
craft_fuel_drum,Make Fuel Drum,crafting,steel_ingot_0:3,fuel_drum_0:1,15,forge_0,smithing,2,Roll and weld a 200L drum
craft_water_tank,Make Water Tank,crafting,plastic_sheet_0:4|bolt_box_0:1,water_tank_0:1,15,workbench_0,construction,2,Mold a potable water cistern
craft_ammo_crate,Build Ammo Crate,crafting,wood_plank_0:4|nail_box_0:1,ammo_crate_0:2,10,workbench_0,construction,1,Nail together sealed ammo shipping boxes
#
# === VEHICLE ASSEMBLY ===
build_bicycle,Build Bicycle,assembly,steel_ingot_0:3|rubber_sheet_0:2|wire_0:1,bicycle_0:1,30,workbench_0,engineering,2,Assemble a two-wheel pedal vehicle
build_hand_cart,Build Hand Cart,assembly,steel_ingot_0:2|wood_plank_0:4|rubber_sheet_0:1,cart_hand_0:1,20,workbench_0,construction,1,Assemble a two-wheel push cart
build_horse_cart,Build Horse Cart,assembly,wood_plank_0:12|steel_ingot_0:4|rope_0:3,cart_horse_0:1,60,workbench_0,construction,3,Construct a four-wheel wagon
build_sled,Build Sled,assembly,wood_plank_0:4|rope_0:1,sled_0:1,10,workbench_0,construction,1,Assemble a snow-surface sled
build_raft,Build Raft,assembly,wood_log_0:6|rope_0:4,raft_0:1,20,,construction,1,Lash together a simple floating platform
build_canoe,Build Canoe,assembly,wood_plank_0:8|rope_0:2|rubber_sheet_0:1,canoe_0:1,40,workbench_0,construction,3,Hollow and seal a narrow paddle boat
build_rowboat,Build Rowboat,assembly,wood_plank_0:10|nail_box_0:3|rubber_sheet_0:2,boat_rowboat_0:1,50,workbench_0,construction,3,Plank and seal a small rowboat hull
build_sailboat,Build Sailboat,assembly,wood_plank_0:20|cloth_bolt_0:6|rope_0:5|nail_box_0:5,boat_sailboat_0:1,120,workbench_0,construction,4,Construct a wind-powered sailing vessel
build_wheelbarrow,Build Wheelbarrow,assembly,steel_ingot_0:2|wood_plank_0:3|rubber_sheet_0:1,wheelbarrow_0:1,15,workbench_0,construction,1,Assemble a single-wheel hand cart
build_ladder,Build Ladder,assembly,aluminum_ingot_0:2|bolt_box_0:1,ladder_0:1,15,workbench_0,construction,1,Assemble a folding step ladder
#
# === MEDICAL / CHEMISTRY ===
craft_bandage,Craft Bandage,chemistry,cloth_bolt_0:1,bandage_0:5,5,,crafting,0,Cut and roll sterile wound dressings
craft_medkit,Assemble Medkit,chemistry,bandage_0:5|antiseptic_0:2|splint_0:1|painkiller_0:3,medkit_0:1,15,workbench_0,medical,2,Pack a complete first-aid kit
craft_splint,Craft Splint,chemistry,aluminum_ingot_0:1|cloth_bolt_0:1,splint_0:3,8,workbench_0,crafting,1,Bend and pad fracture immobilizers
craft_antiseptic,Brew Antiseptic,chemistry,water_purified_0:2|salt_food_0:1,antiseptic_0:3,10,chemistry_set_0,medical,1,Distill wound disinfectant solution
craft_fire_extinguisher,Build Fire Extinguisher,chemistry,steel_ingot_0:2|water_purified_0:2,fire_extinguisher_0:1,15,workbench_0,engineering,2,Pressurize a fire suppression unit
craft_flare,Make Flare,chemistry,iron_ingot_0:1|coal_0:1|plastic_sheet_0:1,flare_0:5,10,chemistry_set_0,chemistry,1,Mix and pack emergency signal flares
craft_fertilizer,Compost Fertilizer,chemistry,seed_wheat_0:3|water_purified_0:1,fertilizer_0:2,20,composter_0,farming,1,Decompose organic waste into plant food
#
# === MISCELLANEOUS ===
craft_compass,Craft Compass,crafting,iron_ingot_0:1|glass_pane_0:1,compass_0:1,10,workbench_0,crafting,1,Magnetize a needle in a glass housing
craft_binoculars,Build Binoculars,crafting,glass_pane_0:2|aluminum_ingot_0:1,binoculars_0:1,15,workbench_0,crafting,2,Grind lenses and mount in tubes
craft_lamp_floor,Build Floor Lamp,crafting,steel_ingot_0:2|wire_0:1|glass_pane_0:1,lamp_floor_0:1,15,workbench_0,crafting,2,Assemble a standing room light
craft_lamp_desk,Build Desk Lamp,crafting,aluminum_ingot_0:1|wire_0:1|glass_pane_0:1,lamp_desk_0:1,10,workbench_0,crafting,1,Assemble an adjustable task light
craft_chandelier,Build Chandelier,crafting,steel_ingot_0:2|wire_0:3|glass_pane_0:3,chandelier_0:1,25,workbench_0,crafting,3,Assemble a suspended multi-light fixture
craft_clock,Build Wall Clock,crafting,wood_plank_0:1|copper_ingot_0:1|glass_pane_0:1,clock_wall_0:1,12,workbench_0,crafting,2,Assemble a mechanical wall clock
craft_mirror,Craft Mirror,crafting,glass_pane_0:1|silver_ingot_0:1|wood_plank_0:1,mirror_0:1,10,workbench_0,crafting,2,Coat glass with reflective silver
craft_grain_silo,Build Grain Silo,assembly,steel_ingot_0:8|bolt_box_0:4|concrete_block_0:4,grain_silo_0:1,90,workbench_0,construction,4,Erect a bulk crop storage cylinder
